               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1276,            0.043832,            0.050874,           0.0028011,            0.022222,           0.0014954,          0.00014954,             0.12845,            0.032624,            0.057114,              0.0928,              0.0008,              0.0008
                   1,             0.11951,            0.055854,            0.049248,                   0,                   0,                   0,                   0,             0.12207,            0.040202,            0.051727,            0.084694,           0.0016944,           0.0016944
                   2,             0.11478,            0.057927,            0.049494,           0.0078436,            0.092308,           0.0062473,           0.0014696,              0.1149,            0.045824,            0.049515,            0.076583,           0.0025828,           0.0025828
                   3,             0.11052,            0.062278,             0.04751,           0.0035552,             0.19231,           0.0024068,          0.00036844,             0.11048,              0.0529,             0.04882,            0.068465,           0.0034654,           0.0034654
                   4,             0.10419,            0.064179,            0.044733,            0.024697,             0.39915,             0.06725,            0.012065,            0.095139,            0.064613,              0.0467,            0.060342,           0.0043419,           0.0043419
                   5,             0.10272,            0.067878,            0.044321,            0.071579,              0.2735,            0.095409,            0.021273,            0.088175,            0.070596,             0.04705,            0.052213,           0.0052126,           0.0052126
                   6,             0.10058,            0.059883,            0.042511,            0.029118,             0.31026,             0.02331,           0.0036944,            0.080758,            0.075588,            0.046661,            0.044077,           0.0060772,           0.0060772
                   7,            0.095855,            0.067451,            0.038914,            0.047762,             0.30684,            0.099535,            0.011723,            0.094658,            0.082631,            0.053452,            0.035936,            0.006936,            0.006936
                   8,            0.094047,            0.057732,            0.037297,            0.022319,             0.14017,            0.016601,           0.0026272,             0.10439,            0.069503,            0.067215,            0.027789,           0.0077888,           0.0077888
                   9,            0.097273,            0.050459,            0.037641,            0.016667,             0.33333,            0.017125,           0.0080627,            0.089828,            0.059686,            0.064301,            0.019636,           0.0086357,           0.0086357
                  10,            0.093892,            0.055054,            0.034635,             0.40565,            0.088889,            0.044422,             0.01877,            0.087822,             0.05152,            0.053986,            0.011477,           0.0094766,           0.0094766
                  11,            0.092024,            0.051366,            0.033749,            0.023901,             0.27692,            0.021607,           0.0048261,            0.084695,            0.047228,            0.048111,            0.009637,            0.009637,            0.009637
                  12,            0.091558,            0.047561,            0.031891,            0.039434,             0.49744,            0.052175,            0.011857,            0.081208,            0.047362,            0.038116,            0.009637,            0.009637,            0.009637
                  13,             0.09111,            0.048279,            0.028282,            0.078612,             0.29744,            0.068847,            0.026065,            0.084334,            0.043914,            0.033348,            0.009604,            0.009604,            0.009604
                  14,            0.089484,            0.052065,            0.027613,             0.41106,             0.24274,             0.10221,            0.028308,            0.083166,            0.045368,            0.025421,            0.009571,            0.009571,            0.009571
                  15,            0.089475,            0.053879,            0.022475,             0.51384,             0.43932,             0.21684,            0.059314,            0.073742,            0.042359,            0.019493,            0.009538,            0.009538,            0.009538
                  16,            0.084757,            0.046507,            0.022726,              0.5814,             0.53795,             0.32995,            0.094728,            0.067041,            0.038768,             0.01802,            0.009505,            0.009505,            0.009505
                  17,            0.081791,            0.047867,            0.022688,            0.065484,             0.45641,            0.070527,            0.029635,              0.1004,            0.047705,            0.017649,            0.009472,            0.009472,            0.009472
                  18,             0.08316,            0.045817,            0.020934,             0.44583,             0.61538,             0.15951,            0.070169,            0.088883,            0.051837,            0.016479,            0.009439,            0.009439,            0.009439
                  19,            0.080034,             0.04608,            0.020526,             0.61422,             0.57022,             0.34512,              0.2073,             0.09622,            0.050375,            0.016909,            0.009406,            0.009406,            0.009406
                  20,            0.080866,            0.047036,            0.020737,              0.6962,             0.57185,             0.46611,             0.21098,            0.081218,            0.038881,            0.017576,            0.009373,            0.009373,            0.009373
                  21,            0.081348,             0.04622,            0.021028,             0.75877,             0.50427,             0.49087,             0.21851,            0.061384,            0.039513,            0.018888,             0.00934,             0.00934,             0.00934
                  22,            0.072953,            0.046978,            0.018112,             0.62566,             0.53463,             0.39945,             0.19341,            0.061021,            0.047091,            0.016445,            0.009307,            0.009307,            0.009307
                  23,            0.073663,            0.047311,             0.01809,             0.69617,             0.37798,             0.43726,             0.20323,            0.059156,            0.043307,            0.015421,            0.009274,            0.009274,            0.009274
                  24,            0.073467,            0.045379,            0.018558,             0.55887,             0.39316,             0.30708,              0.1624,            0.057385,            0.047504,            0.015277,            0.009241,            0.009241,            0.009241
                  25,            0.073344,            0.045238,            0.015168,             0.66083,             0.41815,             0.41452,             0.20737,            0.064383,            0.044822,            0.014892,            0.009208,            0.009208,            0.009208
                  26,            0.072226,            0.048934,            0.016485,             0.71981,             0.42721,             0.43849,             0.16484,            0.061707,            0.043191,            0.014404,            0.009175,            0.009175,            0.009175
                  27,            0.077833,            0.045183,            0.014938,             0.64967,             0.55556,             0.39693,             0.19935,            0.053626,            0.040949,            0.013887,            0.009142,            0.009142,            0.009142
                  28,            0.069479,            0.047081,            0.014516,              0.6041,             0.54264,             0.42281,             0.18887,            0.058875,            0.039504,            0.012238,            0.009109,            0.009109,            0.009109
                  29,            0.069911,            0.044139,            0.013341,             0.76018,             0.50315,             0.41873,               0.202,            0.059682,            0.040572,            0.011423,            0.009076,            0.009076,            0.009076
                  30,            0.067558,            0.047875,             0.01502,             0.71253,             0.45641,             0.49652,             0.29419,            0.050718,            0.044468,            0.010656,            0.009043,            0.009043,            0.009043
                  31,             0.06479,            0.044633,            0.012801,             0.83312,             0.49402,             0.55254,             0.18191,             0.06062,            0.037567,           0.0097075,             0.00901,             0.00901,             0.00901
                  32,            0.065544,            0.043886,            0.012726,             0.63261,             0.56752,             0.53062,             0.31132,            0.054928,            0.051663,           0.0092087,            0.008977,            0.008977,            0.008977
                  33,            0.068278,            0.047425,            0.013328,             0.72895,             0.53333,             0.55981,             0.33228,            0.053561,            0.043542,            0.008667,            0.008944,            0.008944,            0.008944
                  34,            0.062285,            0.041728,            0.013486,             0.80212,             0.58082,             0.56161,             0.36497,            0.042831,            0.040781,           0.0085478,            0.008911,            0.008911,            0.008911
                  35,            0.066017,            0.047699,            0.012269,             0.78012,             0.53955,             0.51956,              0.2566,            0.053366,            0.045673,           0.0078707,            0.008878,            0.008878,            0.008878
                  36,            0.067398,            0.046997,            0.010055,             0.78697,             0.62397,             0.62498,             0.40484,            0.061252,            0.043917,           0.0079041,            0.008845,            0.008845,            0.008845
                  37,            0.070616,            0.041219,            0.008686,             0.34573,             0.78889,             0.59434,              0.2312,            0.060641,            0.040594,           0.0070858,            0.008812,            0.008812,            0.008812
                  38,            0.068741,            0.040066,           0.0095646,             0.75668,             0.51029,             0.59584,              0.3596,            0.053493,              0.0374,           0.0072441,            0.008779,            0.008779,            0.008779
                  39,            0.065853,             0.04183,           0.0079126,             0.86363,             0.58867,             0.61056,              0.2944,            0.051535,            0.037097,           0.0075645,            0.008746,            0.008746,            0.008746
                  40,            0.066806,            0.042664,           0.0085068,             0.80081,             0.59658,             0.76421,             0.53229,            0.046344,            0.034957,           0.0075455,            0.008713,            0.008713,            0.008713
                  41,            0.064171,            0.044967,           0.0085085,             0.85541,             0.57094,             0.76278,             0.41324,            0.054164,            0.036306,           0.0068569,             0.00868,             0.00868,             0.00868
                  42,            0.062107,            0.041075,           0.0090609,             0.85381,             0.57436,             0.80297,             0.44188,             0.05241,            0.036829,           0.0058842,            0.008647,            0.008647,            0.008647
                  43,            0.066955,            0.043402,           0.0084228,             0.55816,             0.96275,             0.90699,             0.44713,            0.048451,             0.03256,           0.0050859,            0.008614,            0.008614,            0.008614
                  44,            0.058016,            0.041781,           0.0081906,             0.48175,             0.83333,             0.61133,             0.37929,            0.049506,            0.034618,           0.0054216,            0.008581,            0.008581,            0.008581
                  45,            0.061264,            0.047249,           0.0072368,             0.70249,             0.66667,             0.67236,               0.428,            0.046798,            0.034657,           0.0056391,            0.008548,            0.008548,            0.008548
                  46,             0.06307,            0.040109,           0.0057726,             0.73967,             0.63212,             0.87007,             0.60073,             0.04579,            0.035324,           0.0064306,            0.008515,            0.008515,            0.008515
                  47,            0.061728,            0.043569,            0.006739,             0.86185,             0.57778,             0.65893,             0.29847,            0.043696,            0.035904,           0.0066414,            0.008482,            0.008482,            0.008482
                  48,            0.062426,            0.042114,           0.0077634,             0.74261,             0.59564,             0.53682,             0.27545,            0.048875,            0.038028,           0.0060406,            0.008449,            0.008449,            0.008449
                  49,            0.060486,            0.043622,           0.0066409,             0.78531,             0.59421,             0.68725,             0.39457,            0.043729,            0.037567,           0.0060291,            0.008416,            0.008416,            0.008416
